exam_type,category,scenario,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
AI模擬,4-2 技術保護,,"特許法上の新規性喪失の例外（第30条）に関して、最も適切と考えられるものはどれか。",意に反して公知となった発明については、その公知の日から1年6ヶ月以内に出願しなければならない。,自ら刊行物に発表した発明について例外規定の適用を受けるには、出願から30日以内に証明書類を提出する必要がある。,特許公報の発行により公知となった発明も、例外規定の適用を受けることができる。,新規性喪失の例外規定の適用を受けた場合、その出願は公知の日を出願日として取り扱われる。,イ,"特許法第30条。自ら公表した場合や意に反して公知となった場合、1年以内に出願し、かつ出願から30日以内に証明書を提出する必要がある。遡及効はなく、出願日はあくまで現実の出願日である。"
AI模擬,2-2 リスクマネジメント,"特許権者A社は、B社による侵害行為に対し、特許法第102条第1項に基づき損害賠償を請求した。A社の生産・販売能力は500個、B社の販売数量は800個であった。",この事例における損害額の算定に関して、最も適切と考えられるものはどれか。,A社の能力を超える300個分については、いかなる場合も賠償を請求できない。,B社が販売した800個すべてについて、A社の単位利益を乗じた額が損害額と推定される。,A社の能力を超える300個分についても、ライセンス料相当額を損害額に含めることができる。,損害額の算定において、侵害を前提としたライセンス料率を考慮することは禁じられている。,ウ,"特許法第102条第1項第2号。令和元年の改正により、権利者の販売能力を超える数量部分についても、実施料（ライセンス料）相当額を損害として加算することが認められた。"
AI模擬,5-1 契約,,特許法上の職務発明（第35条）における「相当の利益」に関して、最も適切と考えられるものはどれか。,相当の利益は、金銭による支払いでなければならない。,企業の代表取締役が行った発明は、その性質上、職務発明には該当しない。,相当の利益の内容を決定するための基準の策定にあたっては、従業者等との協議が必要である。,契約等に別段の定めがない限り、特許を受ける権利は発生時から当然に会社に帰属する。,ウ,"特許法第35条。相当の利益は金銭以外も可。協議・開示・意見聴取のプロセスが重要視される。別段の定めがない場合は発明者（個人）に帰属するのが原則。"
AI模擬,4-1 ブランド保護,"A社は、自社の新ブランド名として「佐藤一郎」という氏名を含む商標を出願しようとしている。調査の結果、同姓同名の他人が複数存在することが判明した。",改正商標法（令和6年施行）に基づく判断として、最も適切と考えられるものはどれか。,同姓同名の他人が一人でも存在する限り、その他人全員の承諾を得なければ登録できない。,その他人が「佐藤一郎」の氏名でその分野において広く認識されていない場合、その他人の承諾は不要である。,出願人が「佐藤一郎」本人であれば、他人の著名性にかかわらず無条件で登録される。,「相当の関連性」の要件を満たしていても、同姓同名の他人が存在する限り登録は認められない。,イ,"商標法第4条第1項第8号。他人の氏名による拒絶は、その他人が当該分野で需要者の間に広く認識されている場合に限定された。知名度のない他人の承諾は不要である。"
AI模擬,4-1 ブランド保護,,商標法上の「コンセント制度（第4条第4項）」に関して、最も適切と考えられるものはどれか。,先行登録商標権者の承諾（コンセント）があれば、特許庁の審査なしに併存登録される。,先行登録商標権者の承諾があり、かつ、出所混同のおそれがないと認められる場合に限り、登録される。,コンセント制度により登録された商標には、不使用取消審判を請求することができない。,この制度は、商標登録出願人が「不正の目的」を有している場合であっても適用される。,イ,"商標法第4条第4項。先行権利者の同意に加え、審査官が「需要者の間で混同を生ずるおそれがない」と判断することが必要条件である。"
AI模擬,4-4 デザイン保護,"A社は、自社製品の形状について意匠登録出願を行おうとしている。この製品は出願の6ヶ月前にA社自身のウェブサイトで公開されていた。",意匠登録出願に関する判断として、最も適切と考えられるものはどれか。,自ら公開した意匠であっても、新規性を喪失しているため、いかなる場合も登録を受けることはできない。,公開から1年以内であれば、新規性喪失の例外規定の適用を受けて登録を受けられる可能性がある。,意匠法には「新規性喪失の例外」の規定は存在せず、特許法独自の制度である。,公開した意匠と全く同一の意匠であれば登録できるが、類似する意匠は登録できない。,イ,"意匠法第4条。特許法と同様に、自ら公開した場合等は、1年以内（令和5年改正前は6ヶ月）であれば新規性喪失の例外規定の適用を受けることが可能である。"
AI模擬,4-3 コンテンツ保護,,著作権法上の「職務著作（第15条）」に関して、最も適切と考えられるものはどれか。,プログラムの著作物については、法人等の名義で公表されなければ職務著作とはならない。,嘱託社員や派遣社員が作成した著作物は、いかなる場合も職務著作には該当しない。,契約や就業規則に別段の定めがある場合でも、職務著作の規定が優先して適用される。,法人等の業務に従事する者が職務上作成した著作物は、法人等の発意に基づき、法人等の名義で公表（プログラムを除く）される等の要件を満たせば、法人等が著作者となる。,エ,"著作権法第15条。プログラムの著作物には公表要件がない。派遣社員も実態として「業務に従事する者」であれば対象となり得る。"
AI模擬,4-3 コンテンツ保護,,著作権法上の「未管理公表著作物等の利用に関する新たな裁定制度」に関して、最も適切と考えられるものはどれか。,著作権者が不明な場合のみが対象であり、著作権者が判明している場合は利用できない。,利用者は、文化庁長官の登録を受けた「登録確認機関」に対し、申請を行う。,裁定により利用できる期間は、著作権の存続期間が満了するまでの一生涯である。,裁定後に著作権者が現れた場合でも、権利者は裁定の取消しを求めることはできない。,イ,"著作権法第67条の3。新制度は著作権者と連絡がつかない場合も対象。登録確認機関が申請受付や要件確認を行う。権利者は現れた際に将来の利用を停止させることができる。"
AI模擬,2-2 リスクマネジメント,"アパレルメーカーA社は、自社の人気スカートの形態を模倣し、デジタルデータとしてメタバース内のアバター用に販売しているB社に対し、差止めを検討している。",不正競争防止法に基づく判断として、最も適切と考えられるものはどれか。,B社の行為はデジタルデータの販売であるため、形態模倣行為（第2条1項3号）には該当しない。,リアルの商品の形態をデジタル空間で模倣する行為も、新たに「不正競争」として規制対象となった。,形態模倣行為の規制は、商品の販売開始から5年間継続する。,B社の行為が「混同」を生じさせていない場合、形態模倣行為として差し止めることはできない。,イ,"不正競争防止法第2条第1項第3号。令和5年改正により、デジタル空間における形態模倣（提供行為）も規制された。混同要件は不要（デッドコピー保護）。期間は3年。"
AI模擬,6. 関係法規,,パリ条約における「優先権」に関して、最も適切と考えられるものはどれか。,特許出願の優先期間は、最初の出願の日から6ヶ月である。,意匠登録出願の優先期間は、最初の出願の日から6ヶ月である。,商標登録出願の優先期間は、最初の出願の日から12ヶ月である。,優先権を主張して出願した場合、出願日は最初の出願の日まで遡ったものとして、存続期間が計算される。,イ,"パリ条約第4条。特許・実用新案は12ヶ月、意匠・商標は6ヶ月である。出願日の遡及効果は判断基準（新規性等）に限定され、存続期間の起算日は現提出日である。"
AI模擬,6. 関係法規,,特許協力条約（PCT）に基づく国際出願に関して、最も適切と考えられるものはどれか。,国際出願の日から30ヶ月以内に国内移行手続を行えば、指定国ですべて特許が付与される。,国際調査報告の受領後、1回に限り請求の範囲を補正することができる（第19条補正）。,国際出願の提出先は、世界知的所有権機関（WIPO）に限られ、各国特許庁に提出することはできない。,国際出願を行うことで、パリ条約の優先権を主張することはできなくなる。,イ,"PCT。第19条補正は国際事務局に対して行う。国内移行は30ヶ月以内に行う必要があるが、その後の審査（実体審査）は各国で独立して行われる。"
AI模擬,3-1 調査,,J-PlatPat（特許情報プラットフォーム）を用いた検索に関して、最も適切と考えられるものはどれか。,FI（File Index）は、国際特許分類（IPC）を日本独自に展開したものである。,Fターム（File Forming Term）は、IPCを簡略化した世界共通の分類記号である。,検索キーワードに読点（、）が含まれる場合、常にフレーズ検索として実行される。,審査請求されていない特許出願は、J-PlatPatで検索することはできない。,ア,"J-PlatPat実務。FIは日本独自の細分化分類。Fタームも日本独自の多角的分類である。出願公開後のものは審査請求の有無にかかわらず検索可能。"
AI模擬,4-2 技術保護,,実用新案登録出願に関して、最も適切と考えられるものはどれか。,実用新案登録出願から特許出願への変更は、いかなる時期であっても認められない。,実用新案権の存続期間は、出願の日から25年である。,実用新案登録出願は、特許出願と異なり、実体審査を経ることなく登録される。,実用新案権者は、権利侵害に対し、実用新案技術評価書の提示なしに警告を行うことができる。,ウ,"実用新案法。無審査主義を採用している。存続期間は10年。権利行使には評価書の提示が必須（29条の3）。"
AI模擬,5-2 エンフォースメント,,特許侵害訴訟における防御手段として、最も適切と考えられるものはどれか。,特許無効審判において無効とされるべきものであるときは、権利を行使できない（権利濫用の抗弁）。,侵害者が、特許発明を試験又は研究のために実施している場合でも、侵害を免れることはできない。,自社の製品が特許発明の技術的範囲に含まれていても、特許権者に故意がなければ差止めを拒絶できる。,特許出願前から独自に発明を完成し、実施の準備をしていた場合でも、先使用権は認められない。,ア,"特許法第104条の3。特許に無効理由がある場合、権利行使は認められない。また第69条により試験研究目的の実施は効力が及ばない。"
AI模擬,5-2 エンフォースメント,,関税法に基づく輸入差止（水際対策）に関して、最も適切と考えられるものはどれか。,特許権、意匠権、商標権、著作権等は、いずれも輸入差止申立ての対象となる。,税関長は、権利侵害が疑われる物品を発見した場合、直ちに没収・廃棄しなければならない。,輸入差止申立てを行うには、あらかじめ特許庁による「判定」を得ていることが必須である。,個人的に使用する目的で侵害物品を輸入する行為は、常に輸入差止の対象となる。,ア,"関税法第69条の13。主要な知的財産権は対象. 没収廃棄には認定手続が必要。個人目的（非業）は原則として侵害を構成しない。"
AI模擬,4-4 デザイン保護,,意匠法上の「関連意匠制度」に関して、最も適切と考えられるものはどれか。,本意匠の出願から25年以内であれば、関連意匠を出願することができる。,関連意匠として登録された意匠の存続期間は、本意匠の出願の日から25年である。,本意匠と類似しない意匠であっても、関連意匠として登録することができる。,関連意匠にのみ類似する意匠（連鎖的関連意匠）は、登録を受けることができない。,イ,"意匠法第10条、第21条。関連意匠の存続期間は本意匠の出願日から25年。令和元年の改正により10年以内の出願および連鎖的関連意匠が認められた。"
AI模擬,5-1 契約,,著作権の譲渡契約に関して、最も適切と考えられるものはどれか。,「著作権のすべてを譲渡する」と明記すれば、翻案権（27条）や二次的著作物の利用権（28条）も当然に移転する。,譲渡の対象として第27条および第28条の権利が特掲されていない場合、これらの権利は譲渡人に留保されたものと推定される。,著作権の譲渡は、文化庁に登録しなければ、当事者間でも効力を生じない。,著作者人格権は、契約により譲受人に移転させることができる。,イ,"著作権法第61条。27条・28条の権利は特掲が必要。登録は第三者対抗要件。人格権は一身専属性により譲渡不可。"
AI模擬,6. 関係法規,,経済安全保障推進法に基づく「特許出願の非公開制度」に関して、最も適切と考えられるものはどれか。,保全指定を受けた発明であっても、出願人は内容を公表することができる。,日本国内で行われた特定技術分野の発明を外国に出願する場合、原則として事前に日本へ出願しなければならない。,保全指定を受けた場合、特許権の存続期間は登録の日から30年に延長される。,審査の結果、非公開とされた発明については、国による損失補償は一切行われない。,イ,"経済安保法。第一国出願義務（第78条）が重要。非公開による損失は補償の対象となる。公表は厳格に制限される。"
AI模擬,4-1 ブランド保護,,商標権の「不使用取消審判（第50条）」に関して、最も適切と考えられるものはどれか。,継続して3年以上日本国内で使用されていないときは、何人も審判を請求できる。,商標権者に正当な理由がある場合であっても、不使用であれば必ず取り消される。,審判の請求前3ヶ月以内に商標の使用を開始した場合は、常に取消しを免れる。,不使用取消審判を請求できるのは、当該商標と競合関係にある利害関係人に限られる。,ア,"商標法第50条。継続3年以上の不使用が要件。請求人は「何人も」可能。駆け込み使用（請求前3ヶ月以内）は正当な理由とみなされない場合がある。"
AI模擬,4-3 コンテンツ保護,,著作権の制限（権利者の許諾なく利用できる場合）に関して、最も適切と考えられるものはどれか。,営利を目的としない上演・演奏等であれば、いかなる場合も無許諾・無報酬で利用できる。,私的使用のための複製であれば、公衆に設置されているダビング機を使用してもよい。,裁判手続や立法・行政の目的のために内部資料として必要な限度において、著作物を複製することができる。,引用（第32条）を行う場合、出典を明示する必要はない。,ウ,"著作権法第42条。立法・行政・司法のための複製は認められている。上演演奏は「無料・無報酬」等の要件が必要。引用は出所明示が必須。"
AI模擬,4-2 技術保護,,"特許法上の新規性喪失の例外（第30条）に関して、最も不適切と考えられるものはどれか。",発明者が自らウェブサイトで公開した発明について、公開日から1年以内に出願を行い、かつ出願から30日以内に証明書を提出すれば、その公開により新規性は喪失しないものとみなされる。,意に反して公知となった発明について本規定の適用を受ける場合、出願時にその旨を記載した書面を提出する必要はなく、出願から30日以内に証明書を提出すればよい。,指定されていない博覧会への出品により公知となった発明であっても、発明者の行為に起因するものであれば、本規定の適用対象となり得る。,本規定の適用を受けた場合、新規性の判断において出願日が公開日にまで遡及するため、公開日から出願日までの間に他人が同一の発明をした場合でも、自らの出願が先願となる。,エ,"特許法30条。新規性喪失の例外規定の適用を受けても出願日は遡及しない。公開から出願の間に他人がした出願によって拒絶されるリスクは依然として残る。"
AI模擬,5-1 契約,,"特許法第35条（職務発明）および特許権の実施権に関して、最も適切と考えられるものはどれか。",会社が職務発明について特許を受ける権利を承継した場合、従業員に与える「相当の利益」は金銭でなければならず、ストックオプション等の給付は認められない。,職務発明の「相当の利益」の内容を決定するための基準を策定するにあたっては、従業員等との協議が必要であり、策定された基準は従業員等に開示されなければならない。,特許権が共有であるとき、各共有者は他の共有者の同意を得ることなく、その特許権の持分を自由に譲渡することができる。,通常実施権は、特許庁の原簿に登録しなければ、特許権を譲り受けた第三者に対してその効力を主張することができない。,イ,"特許法35条。相当の利益の決定プロセス（協議・開示・意見聴取）の合理性が重視される。共有持分の譲渡には他の共有者の同意が必要。"
AI模擬,4-2 技術保護,,"実用新案登録制度に関して、最も適切と考えられるものはどれか。",実用新案権の存続期間は、出願の日から10年である。,実用新案登録出願は実体審査を経ないため、先行技術との同一性や進歩性についての審査は行われない。,実用新案権者は、権利侵害に対し差止請求を行う際、あらかじめ実用新案技術評価書を提示して警告する必要はない。,実用新案登録出願から特許出願への変更は、いかなる時期であっても認められない。,ア,"実用新案法。存続期間は出願日から10年。無審査主義だが権利行使には評価書の提示が必須（29条の3）。特許への変更は一定期間可能。"
AI模擬,4-4 デザイン保護,,"意匠法上の最新の改正事項に関して、最も適切と考えられるものはどれか。",関連意匠として登録を受けるためには、本意匠の出願日から5年以内にその意匠登録出願をしなければならない。,関連意匠の意匠権の存続期間は、その設定登録の日から25年である。,最新の改正により、最先の公開について証明書を提出すれば、その後の同一・類似の意匠の公開については新規性喪失の例外手続における証明書の提出が免除される。,関連意匠権は、本意匠の意匠権から分離して他人に譲渡することができる。,ウ,"意匠法4条（令和5年改正）。複数の公開行為がある場合の手続が簡素化された。関連意匠の出願期間は10年。存続期間は本意匠出願から25年。"
AI模擬,4-1 ブランド保護,,"2024年4月に施行された改正商標法に関して、最も不適切と考えられるものはどれか。",先行登録商標権者の承諾（コンセント）があり、かつ出所混同のおそれがないと認められる場合に限り、類似する商標の併存登録が認められる。,コンセント制度により登録された商標権者は、将来にわたり他の商標権者から混同防止表示の請求を受けることはない。,他人の氏名を含む商標であっても、その他人が当該分野において需要者の間に広く認識されている場合を除き、承諾なしに登録できる場合がある。,出願人との間に「相当の関連性」がある氏名を商標登録する場合でも、不正の目的があるときは登録が認められない。,イ,"商標法24条の4。コンセント制度（4条4項）による併存登録後でも、混同が生じている場合は混同防止表示の請求が可能である。"
